zpid,id,lotId,statusType,statusText,detailUrl,latLong,units,variableData,badgeInfo,buildingName,isBuilding,address,addressStreet,addressState,addressCity,addressZipcode,providerListingId,availabilityCount,canSaveBuilding,has3DModel,isFeaturedListing,isShowcaseListing,isSaved,list,relaxed,countryCurrency,price,unformattedPrice,isUndisclosedAddress,beds,baths,area,isZillowOwned,hdpData,isUserClaimingOwner,isUserConfirmedClaim,pgapt,sgapt,shouldShowZestimateAsPrice,hasVideo,isHomeRec,hasAdditionalAttributions,availabilityDate
25.812473--80.33253,25.812473--80.33253,2450008990.0,FOR_RENT,Centrico by Windsor,/apartments/doral-fl/centrico-by-windsor/BfzjvT/,"{'latitude': 25.812473, 'longitude': -80.33253}","[{'price': '$2,970+', 'beds': '2'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Centrico by Windsor,True,"8425 NW 41st St, Miami, FL",8425 NW 41st St   Apt 346,FL,Miami,33166,2t3e2bvxsqmgv,10.0,True,True,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.879618--80.167915,25.879618--80.167915,2504924711.0,FOR_RENT,Biscayne 112,/apartments/miami-fl/biscayne-112/BsWVwT/,"{'latitude': 25.879618, 'longitude': -80.167915}","[{'price': '$2,929+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Biscayne 112,True,"11200 Biscayne Blvd, Miami, FL",11200 Biscayne Blvd # 114,FL,Miami,33161,3zcyp1gd6pctj,22.0,True,False,True,False,False,True,False,,,,,,,,,,,,,,,,,,
26.006128--80.28533,26.006128--80.28533,2365027489.0,FOR_RENT,Pines Garden at City Center,/apartments/pembroke-pines-fl/pines-garden-at-city-center/BNGPh8/,"{'latitude': 26.006128, 'longitude': -80.28533}","[{'price': '$2,670+', 'beds': '2'}, {'price': '$3,523+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated yesterday'}",,Pines Garden at City Center,True,"10400 City Center Blvd, Hollywood, FL",10400 City Center Blvd # 10-204,FL,Hollywood,33025,b6d92bwe5p6e,11.0,True,False,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.982964--80.29795,25.982964--80.29795,2503698254.0,FOR_RENT,Avalon Miramar Park Place,/apartments/miramar-fl/avalon-miramar-park-place/BsK67k/,"{'latitude': 25.982964, 'longitude': -80.29795}","[{'price': '$2,600+', 'beds': '2'}, {'price': '$3,365+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Avalon Miramar Park Place,True,"2750 SW 113th Ln, Hollywood, FL",2750 SW 113th Ln   # 856f18970,FL,Hollywood,33025,7by5ase191a7,0.0,True,True,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.772322--80.338776,25.772322--80.338776,2034927471.0,FOR_RENT,275 Fontaine Parc,/apartments/miami-fl/275-fontaine-parc/9CzbK5/,"{'latitude': 25.772322, 'longitude': -80.338776}","[{'price': '$2,780+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,275 Fontaine Parc,True,"275 Fontainebleau Blvd, Miami, FL",275 Fontainebleau Blvd # 723,FL,Miami,33172,3u6zeqe54y98t,5.0,True,False,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.854416--80.16003,25.854416--80.16003,1008611985.0,FOR_RENT,Moda North Bay Village,/apartments/north-bay-village-fl/moda-north-bay-village/5Yy4y5/,"{'latitude': 25.854416, 'longitude': -80.16003}","[{'price': '$3,284+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}","{'type': 'SPECIAL_OFFER', 'text': 'Special Offer'}",Moda North Bay Village,True,"8000 West Dr, Miami Beach, FL",8000 West Dr   # 404,FL,Miami Beach,33141,ahfy8sgzjx6z,10.0,True,False,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.969105--80.30263,25.969105--80.30263,2450045991.0,FOR_RENT,Catalina at Miramar,/apartments/miramar-fl/catalina-at-miramar/Bg24Kb/,"{'latitude': 25.969105, 'longitude': -80.30263}","[{'price': '$2,900+', 'beds': '2'}, {'price': '$3,753+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Catalina at Miramar,True,"4260 SW 117th Ln, Hollywood, FL",4260 SW 117th Ln   # 348,FL,Hollywood,33025,534rr31rhyz8v,6.0,True,True,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.809841--80.32531,25.809841--80.32531,2468032103.0,FOR_RENT,Avalon Doral,/b/avalon-doral-doral-fl-Bk7wQ7/,"{'latitude': 25.809841, 'longitude': -80.32531}","[{'price': '$2,715+', 'beds': '2'}, {'price': '$4,035+', 'beds': '3'}]","{'type': 'TIME_ON_INFO', 'text': 'Updated today'}",,Avalon Doral,True,"3940 NW 79th Ave, Miami, FL",3940 NW 79th Ave  # beace3d62,FL,Miami,33166,1fzu8w519gc5f,0.0,True,False,True,False,False,True,False,,,,,,,,,,,,,,,,,,
26.003525--80.33472,26.003525--80.33472,2329560181.0,FOR_RENT,Windsor at Pembroke Gardens,/apartments/pembroke-pines-fl/windsor-at-pembroke-gardens/BG6wpW/,"{'latitude': 26.003525, 'longitude': -80.33472}","[{'price': '$2,630+', 'beds': '2'}, {'price': '$4,045+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Windsor at Pembroke Gardens,True,"500 SW 145th Ave, Pembroke Pines, FL",500 SW 145th Ave  Apt 444,FL,Pembroke Pines,33027,e7kzpu2eeygc,8.0,True,True,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.974203--80.35771,25.974203--80.35771,1001422210.0,FOR_RENT,Windsor at Miramar,/apartments/miramar-fl/windsor-at-miramar/5XhxSy/,"{'latitude': 25.974203, 'longitude': -80.35771}","[{'price': '$2,690+', 'beds': '2'}, {'price': '$3,135+', 'beds': '3'}]","{'type': '3D_HOME', 'text': '3D Tour'}",,Windsor at Miramar,True,"3701 SW 160th Ave, Hollywood, FL",3701 SW 160th Ave  # 14303,FL,Hollywood,33027,4pm26asbq4fx1,5.0,True,True,True,False,False,True,False,,,,,,,,,,,,,,,,,,
25.94684--80.200966,25.94684--80.200966,1001421640.0,FOR_RENT,Cottage Cove,/apartments/miami-fl/cottage-cove/5XhxFL/,"{'latitude': 25.94684, 'longitude': -80.200966}","[{'price': '$1,875+', 'beds': '2'}]","{'type': 'TIME_ON_INFO', 'text': None}",,Cottage Cove,True,"12 NE 188th St, Miami, FL",12 NE 188th St   # ab14a26e7,FL,Miami,33179,1z9msfr12ynjt,0.0,True,False,True,False,False,True,False,,,,,,,,,,,,,,,,,,
